MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
2108306489186557269_3781958475,8/11/2019 6:56:16 PM,https://www.instagram.com/p/B1CNZTlnZ1V,14402,27,103761,Yes,,"@pan_n_ice,@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk","Jolly rancher ice cream rolls! 
Check out my new YouTube Channel - link in profile description!

Dm me to be featured! 
What do you think about this picture? 👇🏽 Credit: @pan_n_ice - I do not take credit! .

Follow me, for amazing photos & videos 🏝
@simplysatisfyinguk 
@simplysatisfyinguk
@simplysatisfyinguk
Turn on post notifications ✅
.
Image belongs to their respective owner!

#slime #clearslime #slimeusa #slimer #slimes#usaslime #slimereview #slimelovers #slimevideo #slimepoking #slimeshop #slimestore#slimereview #slimewondernotice #slimestore #talisatossell#clearslime #usaslime #fluffyslime #icecream",
2233174512744839286_3781958475,1/31/2020 1:46:23 AM,https://www.instagram.com/p/B791GMxnLh2,13968,229,351952,Yes,,"@simplysatisfyinguk,@pacinthesink⠀","Snake shedding its skin 🐍 Tag a friend that needs to see this 👇⠀
-⠀
Follow us for the best @simplysatisfyinguk posts! 🧠⠀
-⠀
Credit: @pacinthesink⠀
-⠀
.⠀
.⠀
.⠀
.⠀
.⠀
#satisfyingvideo #slime #slimevideos #slimevideo #crushing#satisfying #satisfyingslimes #slimetutorial #slimepressing#slimevids #slimegoals #asmrsoap #slimeyvideo#asmrcommunity #bestslime #slimereview #asmrsounds#slimevideosdaily #instaslime #foodporndaily #slimeworld#crunchyslime #soapcutting #slimer #satisfy #diys#slimeyslime #satisfyingslime #diy #oddlysatisfying",
2247531470381799441_3781958475,2/19/2020 9:10:51 PM,https://www.instagram.com/p/B8w1fbhnlgR,13965,1095,0,No,,"@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk,@soapasmrrmsapaos","⚠️ Swipe 👉👉👉
DOWNLOAD GAME👇
LINK IN BIO: @simplysatisfyinguk 
LINK IN BIO: @simplysatisfyinguk 
LINK IN BIO: @simplysatisfyinguk
⬆️
🎥: @soapasmrrmsapaos",
2218517982531632780_3781958475,1/10/2020 8:26:31 PM,https://www.instagram.com/p/B7JwlnUnT6M,13770,215,167045,Yes,,"@musiacal,@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk","Write 'cute' in your language! •
•
Check out my story and bio link!
•
•
•
follow @musiacal - credit to them 🙌🏻⬇️
•
•
Follow: @simplysatisfyinguk 
Follow: @simplysatisfyinguk
Follow: @simplysatisfyinguk •
•
•
#glossyslime #squishies #asmrvideo #satisfyingsounds#thwocking #slimepressing #jigglyslime #crunchyfloam#anxietyrelief #satisfyingfloam #fishbowlslime #sizzle#jellycubeslime #icebergslime #bubblepopping #daisoclay#crunchyfloam #slimerepost #slimerecipe
#prettyslime #sensory #destress #thickslime #slimemixing #glitterslime #satisfyingsoap #clayslime#floralfoam #satisfyingvideos",
2252540264102785152_3781958475,2/26/2020 7:04:37 PM,https://www.instagram.com/p/B9CoW-MHHCA,13265,107,258026,Yes,,"@simplysatisfyinguk,@simplysatisfyinguk,@tiktokclicks","Pro 🙋🏻‍♀️ or Pro 🙋🏼‍♀️ ⁉️
Follow 👉🏻 @simplysatisfyinguk 👈🏻 for more!
Follow 👉🏻 @simplysatisfyinguk 👈🏻 for more!
-
Via : @tiktokclicks
-
-
-
#girl #singing #cover #slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages",
2219808689166938488_3781958475,1/12/2020 3:10:46 PM,https://www.instagram.com/p/B7OWD3jHvF4,13068,25,242820,Yes,,@hydraulicpresschannel,"What is your favourite colour?  Oh my god! I love colour! Do you? 🤣 •
Credit: @hydraulicpresschannel •
•
#vape #hydraulicpress
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #vapenation #whiteslime #redslime #slusheeslime #explorepages",
2217512640226100903_3781958475,1/9/2020 11:08:57 AM,https://www.instagram.com/p/B7GL_9VnYan,12954,26,197018,Yes,,"@hydraulicpresschannel,@simplysatisfying,@simplysatisfyinguk,@simplysatisfyinguk","Check out my new YouTube Channel - link in profile description! 👇🏽 Credit: @hydraulicpresschannel - I do not take credit! .

Follow me, for amazing photos & videos 🏝
@simplysatisfying
@simplysatisfyinguk
@simplysatisfyinguk
Turn on post notifications ✅
.
Image belongs to their respective owner!

#glossyslime #squishies #asmrvideo #satisfyingsounds#thwocking #slimepressing #jigglyslime #crunchyfloam#anxietyrelief #satisfyingfloam #fishbowlslime #sizzle#jellycubeslime #icebergslime #bubblepopping #daisoclay#crunchyfloam #slimerepost #slimerecipe
#prettyslime #sensory #destress #thickslime #slimemixing #glitterslime #satisfyingsoap #clayslime#floralfoam #satisfyingvideos",
2102849802677415427_3781958475,8/4/2019 6:14:56 AM,https://www.instagram.com/p/B0u0sEQlm4D,12888,23,132260,Yes,,@pan_n_ice,"🍍🍍 So, this is pinapple fanta ice cream rolls! The reason why it is so light is because of the flavour of the fanta! Personally, I've never had fanta that tastes like pinapple, but it kinda sounds interesting 🍍🍍•
Would you like to try this? Let me know! •
•
Credit: @pan_n_ice
-
🍍
🍍🍍
🍍🍍🍍
🍍🍍🍍🍍
🍍🍍🍍🍍🍍
tags
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages
🍍🍍🍍🍍🍍
🍍🍍🍍🍍
🍍🍍🍍
🍍🍍
🍍",
2016872201203881271_3781958475,4/7/2019 3:12:55 PM,https://www.instagram.com/p/Bv9XpTGHhU3,12778,24,37302,Yes,,"@pan_n_ice,@simply_satisfying_uk,@simply_satisfying_uk,@simply_satisfying_uk","Pop tart ice cream - what do you think? •
•
•
Make sure you liked and comment⬇️⬇️
•
•
•
follow @pan_n_ice - credit to them 🙌🏻⬇️
•
•
Follow: @simply_satisfying_uk 
Follow: @simply_satisfying_uk 
Follow: @simply_satisfying_uk •
•
•

#glossyslime #squishies #asmrvideo #satisfyingsounds#thwocking #slimepressing #jigglyslime #crunchyfloam#anxietyrelief #satisfyingfloam #fishbowlslime #sizzle#jellycubeslime #icebergslime #bubblepopping #daisoclay#crunchyfloam #slimerepost #slimerecipe
#prettyslime #sensory #destress #thickslime #slimemixing #glitterslime #satisfyingsoap #clayslime#floralfoam #satisfyingvideos",
2235218260089766178_3781958475,2/2/2020 9:28:37 PM,https://www.instagram.com/p/B8FFyo0HgEi,12716,59,216463,Yes,,"@simplysatisfyinguk,@icecreamrolls","What is your favorite fruit that they should make to Ice Cream Rolls next? •
•
Follow @simplysatisfyinguk 💗
Tag a friend that needs to see this! 👇
Credit: @icecreamrolls •
•
•
•
#vape #hydraulicpress
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #vapenation #whiteslime #redslime #slusheeslime #explorepages",
