OriginalUsername,MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
satisfactionabc,2301815538581423543_18634906372,5/4/2020 9:43:36 PM,https://www.instagram.com/p/B_xsQlrnsW3,2298,4,0,No,,,"Swipe👉Link in bio to download this amazing app!

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2301070047785746231_18634906372,5/3/2020 9:02:27 PM,https://www.instagram.com/p/B_vCwRRj383,74757,402,0,No,,,"Swipe👉Link in bio to download this addictive app🔥

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2300370482431393101_18634906372,5/2/2020 9:52:32 PM,https://www.instagram.com/p/B_sjsQRHf1N,12098,29,0,No,,"@satisfactionabc,@satisfactionabc,@satisfytour","⚘Link in bio to download Design Home its a super fun app!❤
👇👇👇
@satisfactionabc
@satisfactionabc
-
Cr: via @satisfytour
-
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2299639084362777969_18634906372,5/1/2020 9:39:23 PM,https://www.instagram.com/p/B_p9ZAvDEVx,117443,2383,0,No,,@babu.barber,"Tag someone who needs a haircut

Via @babu.barber

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2298902058386828322_18634906372,4/30/2020 9:15:02 PM,https://www.instagram.com/p/B_nVz3zj6wi,3684,12,0,No,,"@satisfactionabc,@windowcleaner","Is this satisfying?😍
𝙁𝙤𝙡𝙡𝙤𝙬 @satisfactionabc 𝙛𝙤𝙧 𝙢𝙤𝙧𝙚🥰
-
Credit: @windowcleaner
-
-
#slime #slimes #talisatossell #asmr #slimer #slimethailand #homemade #recipe #satisfying #soothing #stressrelieving #anxietyrelief #glitter #bubbles #crunchybubbles #dancemoms #gainpost #butterslime #viral #microbeads #floam #crunch #squishy #clear #clearslime #mixing #rainbow #avalanche",
satisfactionabc,2298177498176650245_18634906372,4/29/2020 9:15:28 PM,https://www.instagram.com/p/B_kxEIhnXwF,30906,158,0,No,,"@satisfactionabc,@biganimalss","Swipe👉Link in bio to download
So cute! @satisfactionabc
-
Credit: @biganimalss
-
-
#slime #slimes #talisatossell #asmr #slimer #slimethailand #homemade #recipe #satisfying #soothing #stressrelieving #anxietyrelief #glitter #bubbles #crunchybubbles #dancemoms #gainpost #butterslime #viral #microbeads #floam #crunch #squishy #clear #clearslime #mixing #rainbow #avalanche",
satisfying.sus,2323564898214046676_9522609695,6/3/2020 9:55:42 PM,https://www.instagram.com/p/CA-9fbSnWvU,84,1,0,No,,"@dm,@satisfying.sus,@satisfying.sus,@satisfying.sus,@satisfying.sus","Swipe 👉👉
📸: @dm for removal or credit
✨Download Games!✨
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus ————————————
👉🏼 Follow @satisfying.sus for more satisfying videos ☺️
*
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfying.sus,2323522827726061389_9522609695,6/3/2020 8:32:07 PM,https://www.instagram.com/p/CA-z7OGH39N,169,0,0,No,,"@dm,@satisfying.sus,@satisfying.sus,@satisfying.sus,@satisfying.sus","Swipe 👉👉
📸: @dm for removal or credit
✨Download Games!✨
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus ————————————
👉🏼 Follow @satisfying.sus for more satisfying videos ☺️
*
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfying.sus,2323494880650610826_9522609695,6/3/2020 7:36:35 PM,https://www.instagram.com/p/CA-tkiWnkiK,693,0,0,No,,"@dm,@satisfying.sus,@satisfying.sus,@satisfying.sus,@satisfying.sus","Swipe 👉👉
📸: @dm for removal or credit
✨Download Games!✨
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus ————————————
👉🏼 Follow @satisfying.sus for more satisfying videos ☺️
*
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfying.sus,2323465516789682645_9522609695,6/3/2020 6:38:15 PM,https://www.instagram.com/p/CA-m5PIHlHV,397,0,0,No,,"@dm,@satisfying.sus,@satisfying.sus,@satisfying.sus,@satisfying.sus","Swipe 👉👉
📸: @dm for removal or credit
✨Download Games!✨
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus 
Link in bio 👉🏼 @satisfying.sus ————————————
👉🏼 Follow @satisfying.sus for more satisfying videos ☺️
*
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
