OriginalUsername,MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
highsatisfied,2174899764701532776_11610112874,11/11/2019 7:04:58 PM,https://www.instagram.com/p/B4uy9AZHZJo,17673,41,218151,Yes,,"@highsatisfied,@highsatisfied,@thrillist","Answer last post: Cocoa fruit. It is the raw material of the cocoa products we eat / drink.
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @thrillist 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2174136390862590944_11610112874,11/10/2019 5:48:33 PM,https://www.instagram.com/p/B4sFYdGnVPg,7350,226,118926,Yes,,"@highsatisfied,@highsatisfied,@gurukafa","Do you know what kind of fruit this is?!🤔
I tell the answer in the next post👀
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @gurukafa 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2173432685192489901_11610112874,11/9/2019 6:30:09 PM,https://www.instagram.com/p/B4plYMIHyut,174111,1694,2104122,Yes,,"@highsatisfied,@highsatisfied,@unknown","Comment “chocolate” in your language!😍🍫
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @unknown pls dm
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2172709721333402285_11610112874,11/8/2019 6:33:48 PM,https://www.instagram.com/p/B4nA_rkHYqt,8376,45,122492,Yes,,"@highsatisfied,@highsatisfied,@sofclean","Turn your sound on❤️
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @sofclean 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2172063131019187283_11610112874,11/7/2019 9:09:34 PM,https://www.instagram.com/p/B4kt-jaHxRT,104990,310,1536586,Yes,,"@highsatisfied,@highsatisfied,@amauryguichon","Satisfying cut out compilation😍
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @amauryguichon 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2171381604308444672_11610112874,11/6/2019 10:35:08 PM,https://www.instagram.com/p/B4iTBCMn2YA,154141,1599,1624165,Yes,,"@highsatisfied,@highsatisfied,@jugglinjosh","Your name backwards is the name of your planet!👽
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @jugglinjosh 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2170487253218821209_11610112874,11/5/2019 4:57:58 PM,https://www.instagram.com/p/B4fHqg1nwRZ,13968,268,327826,Yes,,"@highsatisfied,@highsatisfied","Who knows what this is? 😱 
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @ dm please
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2169153052657628569_11610112874,11/3/2019 8:47:18 PM,https://www.instagram.com/p/B4aYTVvHLWZ,17044,58,351948,Yes,,"@highsatisfied,@highsatisfied,@talisa.tossell","Bath bomb sizzles are my favourite 😍 comment your top row of emojis down below! Mine are 😂😭✨😘🤷🏻‍♀️🔥
follow @highsatisfied 🙌
follow @highsatisfied 🙌
————————————
by @talisa.tossell 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2168333289689758610_11610112874,11/2/2019 5:38:48 PM,https://www.instagram.com/p/B4Xd6N-nLuS,50742,267,969932,Yes,,"@highsatisfied,@highsatisfied,@talisa.tossell","What’s your favourite asmr sound? I love peeling noises (like removing iPhone protective covering) 
follow @highsatisfied 🙌
follow @highsatisfied 🙌
————————————
by @talisa.tossell 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2167645419438170641_11610112874,11/1/2019 6:52:23 PM,https://www.instagram.com/p/B4VBgY4nWIR,5757,106,169385,Yes,,"@highsatisfied,@highsatisfied,@cedricgrolet","9 x 6 x 4 + 6 x 9 = ? 🤔👇
follow @highsatisfied 🙌
follow @highsatisfied 🙌
————————————
by @cedricgrolet 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
