,PostUrl,NrLikes,IsVideo,Credits
1551,https://www.instagram.com/p/CADfM5RBXnI,4662,No,credit @dm for removal*
1015,https://www.instagram.com/p/B9eytB5HqBO,4623,No,credit @no copyright intended please dm or comment for credit
1540,https://www.instagram.com/p/CALF5IvB_1Y,4609,No,credit @dm for removal*
1987,https://www.instagram.com/p/By8GkapoMLe,4595,Yes,credit: @turdtwig
402,https://www.instagram.com/p/CAYVO5aBEPA,4581,No,credit lazopee tiktok
3551,https://www.instagram.com/p/B_2dQLoqGtG,4564,No,"credits:@thdrawing,@satisfyaddict.s"
1116,https://www.instagram.com/p/B8Y3LhuHCAM,4563,No,credit @please comment or dm for credit no copyright intended
516,https://www.instagram.com/p/B_NSJ-cBnUc,4562,No,credit!
1046,https://www.instagram.com/p/B9KWt6-H-PT,4546,No,credit @please comment or dm for credit no copyright intended
3518,https://www.instagram.com/p/CASjrCbqPg-,4543,No,"credits:douyin, @hydraulicpresschannel"
1480,https://www.instagram.com/p/CAx71TGBRLx,4537,No,credit @dm for removal*
1109,https://www.instagram.com/p/B8b5_swHg5u,4532,No,credit @please comment or dm for credit no copyright intended
1471,https://www.instagram.com/p/CA3PsBlBD3_,4522,No,credit @dm for removal*
3680,https://www.instagram.com/p/B9HrcONjNLX,4514,No,credits: @powervisiongo & @m.satisfying
2790,https://www.instagram.com/p/B-aC1mwHQc_,4495,No,credit @no copyright intended please dm or comment for credit *
1585,https://www.instagram.com/p/B_sTccnBgoa,4489,No,credit @dm for removal*
911,https://www.instagram.com/p/B-xZ2kwnHlM,4475,No,credit
1535,https://www.instagram.com/p/CANxmEKhyiv,4450,No,credit @dm for removal*
275,https://www.instagram.com/p/B_8FyvKntTp,4428,No,credit: @starlordcats
2091,https://www.instagram.com/p/B_GTonDDNsr,4425,No,credit: dm me ————————— download game👇 
2566,https://www.instagram.com/p/CA5cVltn5VC,4418,No,credit: @please comment or do for credit -
729,https://www.instagram.com/p/CA0mgtvn4b7,4407,No,credit
1602,https://www.instagram.com/p/B_fa2_Lj1h1,4398,No,credit @dm for removal*
2611,https://www.instagram.com/p/CAfzBC0n79Z,4397,No,credit
744,https://www.instagram.com/p/CAskVNJHGJV,4385,No,credit
3638,https://www.instagram.com/p/B9_kwdtD47v,4369,No,credits: @claypoppings
504,https://www.instagram.com/p/B_Xiqgchlpj,4332,No,credit!
940,https://www.instagram.com/p/B-Xe2NrH0Tf,4331,No,credit @dm for removal*
3660,https://www.instagram.com/p/B9hgkBGi8ES,4330,No,credits: dm me
2568,https://www.instagram.com/p/CA3JT27HpqA,4327,No,credit: @samueltwilt -
471,https://www.instagram.com/p/B_p9o-phyi8,4314,No,credit @please comment or dm for credit no copyright intended
2051,https://www.instagram.com/p/CALZIH9D5Lk,4302,Yes,credit: dm me ———————
2585,https://www.instagram.com/p/CAvIFD6H_yL,4299,No,credit: @please comment or do for credit -
2653,https://www.instagram.com/p/CAD0nbKnMak,4291,No,credit
2003,https://www.instagram.com/p/CA5WS3ADEAu,4277,No,credits: dm me
1095,https://www.instagram.com/p/B8mGMWtnGrQ,4262,No,credit @please comment or dm for credit no copyright intended
250,https://www.instagram.com/p/CA8Ze0RH4fV,4245,No,"credit: @? unknown, dm me pls"
1176,https://www.instagram.com/p/B7typGFnNp7,4244,No,credit @please comment or dm for credit no copyright intended
908,https://www.instagram.com/p/B-z7EdbnkeK,4238,No,credit
